id,purpose_validated,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
71,home,1171.999,11,11,1,13,303.9970088654491,2645.493669694623,33098.28703419562,303.9970088654491,5
72,errand,946.3939999999999,14,14,30,26,55.656486752415006,55.656486752415006,41780.6042256586,59.05614305178594,4
73,errand,1552.307001,11,11,14,50,176.93272159720834,954.0502715816,176.93272159720834,308.4697564376743,2
74,leisure,3619.4040000000014,15,16,2,9,1116.8178728150563,2156.91187907648,52690.26443283682,1116.8178728150563,3
75,leisure,500.24699999999996,18,18,16,50,30743.520462481334,30743.520462481334,56194.429236414544,54698.609008465355,5
76,work,26442.17,7,14,8,6,99.99533797819623,439.8888513527783,387.66173519309115,99.99533797819623,2
77,leisure,3505.5450010000004,17,18,30,39,156.63676911907137,201.74119774886375,27245.924242370602,156.63676911907137,5
78,work,17717.082000000002,12,16,1,5,46.938915903791255,46.938915903791255,41823.47375903457,81.31698895793673,2
79,home,5240.0,14,16,12,19,595.560806623322,1050.7274607383267,34696.322706255065,595.560806623322,4
80,home,19645.303999,11,16,1,13,272.83865565528146,496.4638782342269,20713.45914770461,272.83865565528146,5
81,home,50641.599,20,10,29,39,193.44254343262278,1388.8366647531416,13753.068577834165,193.44254343262278,4
82,work,17465.251001,11,16,23,21,37.78876059838274,351.0254624152894,30870.979391061435,37.78876059838274,1
83,home,1931.23,11,12,31,5,309.5948674842891,1023.1531797794372,136266.20578444324,309.5948674842891,1
84,home,41458.483001,16,4,23,43,191.18108136323207,3480.422018265223,44109.23162707374,191.18108136323207,0
85,work,32657.031000000006,4,13,2,18,301.29677770956096,804.4334579890352,950.0314151547802,301.29677770956096,1
86,wait,739.6520009999999,22,22,11,50,80.1507918818487,80.1507918818487,103.35767052445992,103.35767052445992,0
87,work,2951.315,7,8,3,40,87.09846755050033,1102.4301287250532,309.1917842286464,87.09846755050033,1
88,wait,486.73100100000005,11,11,13,28,16.90665405210947,16.90665405210947,129.6404767123807,16.90665405210947,3
89,work,2646.0,6,6,24,12,182.22166891421105,1018.6251857377072,15919.651552359463,182.22166891421105,4
90,wait,384.38000100000005,17,17,6,10,27.696527794604197,27.696527794604197,10058.613330088532,66.54043301129565,0
91,work,23884.962001,9,15,30,35,302.84957763180665,346.8795643390329,2518.493902910973,302.84957763180665,2
92,leisure,484.87699999999995,12,12,26,12,345.3649817290577,7792.6341660849275,101153.3901064323,345.3649817290577,6
93,work,679.316,15,15,17,33,124.508796785103,536.4373263073907,26538.342188543338,124.508796785103,3
94,home,45990.023,18,6,20,33,293.1535136246501,559.6712436429897,18408.707985347017,293.1535136246501,6
95,errand,348.0,13,13,29,52,122.19576405899015,275.7357964841565,39244.81572474953,122.19576405899015,3
