id,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
5000,317.47800099999995,7,7,9,36,58.55993904852615,719.2361081577437,135983.38252407612,58.55993904852615,5
5001,592.0,17,17,15,11,388.66995020695947,1659.784538072029,31662.824992443973,388.66995020695947,2
5002,1670.317,9,9,23,38,98.9568670004718,198.43277285230752,37420.75265432754,98.9568670004718,5
5003,325.0,12,12,26,17,536870.8118280729,536870.8118280729,797900.57135562,536870.8118280729,2
5004,1608.0,12,12,26,52,985.1274884323816,985.1274884323816,32189.786764996654,1783.2379754378858,0
5005,4356.534001,8,9,31,44,38.95751774733081,38.95751774733081,60626.450346753554,47.149921077935765,1
5006,3780.0000000000014,6,7,24,4,139.3436333803912,139.3436333803912,31158.319843547462,285.91731718292147,2
5007,40579.492999999995,21,8,26,30,196.63920570830464,4410.373771229621,31203.888204575567,196.63920570830464,2
5008,2227.474,12,12,28,4,220.50875668230458,1227.4116145767225,30193.194355756466,220.50875668230458,5
5009,50576.01500000001,16,6,1,35,306.56334152817936,1020.1857836991072,136261.41357241405,306.56334152817936,4
5010,1977.074001,15,15,8,49,352852.6780743359,352852.6780743359,637611.2231669852,366616.3407803447,4
5011,989.999001,11,11,11,10,857.3051549409627,1480.9784306530985,54972.955096114376,1564.2801485462423,5
5012,32267.138999000006,21,6,26,34,324.63083611305467,324.63083611305467,45516.07187862085,1955.189713361954,5
5013,44688.823,17,6,6,45,444.75346965221405,604.5589342736178,8665.178419030302,444.75346965221405,0
5014,20451.892999,10,15,11,23,283.35730206351167,1344.4151089826432,35704.349002407165,283.35730206351167,6
5015,18651.424000000006,15,21,20,25,73.87558429367577,73.87558429367577,26145.602233681642,119.04868088581956,1
5016,50615.197,17,7,19,20,167.8576157270447,1285.7188396561596,19496.30305607965,167.8576157270447,4
5017,2422.0,10,11,3,44,349.53153584548204,410.84290069728246,78275.05767606615,349.53153584548204,4
5018,64797.385,20,14,14,2,246.6414598708677,506.750453884271,21979.576017740164,246.6414598708677,5
5019,633.6709999999999,10,11,9,10,112.26201560029716,112.26201560029716,136.66916737189774,136.66916737189774,3
5020,2961.0,13,14,17,3,37.62308888818428,281.34141618271724,41775.22929334303,37.62308888818428,2
5021,702.539,15,15,29,26,35.79845666523086,55.5965245723649,27115.796364304493,35.79845666523086,3
5022,44416.191000000006,18,6,6,10,241.70765012296155,2116.868058036771,14810.743737755638,241.70765012296155,0
5023,17189.474000000002,11,16,2,18,212.72733340912208,281.8447569510537,7928.74243753945,212.72733340912208,1
5024,7702.000000000001,6,9,21,12,86.57935389804283,1359.9490607715907,161.02722284150732,86.57935389804283,1
5025,5747.651000000002,9,11,13,15,356849.4015816795,410830.5885388613,586259.2450144879,356849.4015816795,3
5026,10100.873001,13,16,5,36,211.32891178513972,1059.5406837192681,59684.4660006551,211.32891178513972,1
5027,12113.0,6,9,4,18,151.86411563399201,1775.228459928676,58670.638672978406,151.86411563399201,3
5028,3506.7580009999997,15,16,9,14,719.609798493956,719.609798493956,31938.163539650963,719.609798493956,6
5029,2944.0,9,10,27,34,11.297976412501473,292.1824511977316,15157.933612769817,11.297976412501473,6
5030,48538.772,18,7,15,46,412.1787595435857,449.45451379088416,59144.43821806188,412.1787595435857,2
5031,48699.876001,16,6,3,31,148.29294857390158,800.3346941292086,77643.35236132848,148.29294857390158,3
5032,6163.892000000002,7,8,14,46,95.15941668681545,886.2766763401784,348.2456968926488,95.15941668681545,1
5033,756.0,20,20,22,4,44.46369858253378,44.46369858253378,48594.13013111977,44.46369858253378,0
5034,160341.46000000002,16,13,1,52,325.8347405343133,3500.8183886780935,83451.19601014585,370.316138996494,6
5035,637.643,17,17,10,32,51.06615271828795,51.06615271828795,24725.4416908834,51.06615271828795,3
5036,34503.683000000005,21,7,13,2,19.566914609084748,698.2318577897473,24001.53431596628,19.566914609084748,4
5037,1523.0,11,12,1,1,776.110498409203,3087.749284405995,91977.94973415784,1697.537335363427,0
5038,2241.6449989999996,5,6,28,30,97.51843696901008,192.68563543288727,3600.3414140050045,97.51843696901008,4
5039,461.748999,6,6,8,45,76.74729785507964,76.74729785507964,33294.15992514157,112.91897850392172,2
5040,5637.0,8,10,22,51,112.67699181980824,484.02991623795367,14885.823004587819,112.67699181980824,4
5041,13616.0,6,9,22,21,18.702137697268512,513.7838672829631,19208.878713302725,18.702137697268512,0
5042,16983.112,6,10,30,22,76.6232804301049,177.5569484874495,76.6232804301049,76.6232804301049,1
5043,336.0,11,11,5,18,275.101635316917,3467.141691630327,36821.252056221536,275.101635316917,4
5044,359.7600000000001,16,16,15,37,56.91308743123992,56.91308743123992,144.44991563042925,56.91308743123992,4
5045,624.998,7,7,29,43,715.1490990740077,2851.003952196469,12590.946352048244,715.1490990740077,6
5046,1807.2179999999998,10,10,12,24,149.36883544870162,352.83920367623705,42131.358017989885,149.36883544870162,0
5047,36873.464,19,5,25,25,192.5854667937561,1224.1477826709206,30208.506211609023,192.5854667937561,6
5048,47270.345,16,5,24,38,536.5366488478949,591.0675760939822,41602.29455474169,536.5366488478949,6
5049,4231.932000000002,0,1,10,6,99.01172219993543,267.87168945561825,2793.523312423769,99.01172219993543,4
5050,1982.0,8,8,15,3,355.59508390555123,394.1305090202751,8678.242633227004,355.59508390555123,0
